year,scenario,CDUID,pm25_1,pm25_2,no2_1,no2_2,o3_1,o3_2,summero3_1,summero3_2,co24h_1,co24h_2,co1h_1,co1h_2,so2_1,so2_2,bz_1,bz_2,bt_1,bt_2,ac_1,ac_2,fm_1,fm_2
2016,1,1308,1.8,2.86,0.15,2.36,26,34.9,28,32.9,0,0.1,0,0.12,0,0.15,0,0.086256873,0,0,0,0.6846251,0,0.549035751
2016,1,1309,1.8,3.13,0.15,2.67,26,34.8,28,32.33,0,0.1,0,0.12,0,0.15,0,0.079867475,0,0,0,0.66660865,0,0.53798134
2016,1,1310,1.8,3.78,0.15,3.23,26,35.7,28,33.9,0,0.1,0,0.12,0,0.15,0,0.105425067,0,0,0,0.72786458,0,0.59079686
2016,1,1311,1.8,3.56,0.15,2.74,26,35.5,28,33.72,0,0.1,0,0.12,0,0.15,0,0.108619766,0,0,0,0.72786458,0,0.596938199
2016,1,1312,1.8,3.45,0.15,2.71,26,34.9,28,32.6,0,0.1,0,0.12,0,0.15,0,0.092646271,0,0,0,0.686426745,0,0.56745977
2016,1,1313,1.8,3.46,0.15,2.94,26,35.4,28,32.86,0,0.1,0,0.12,0,0.15,0,0.092646271,0,0,0,0.67021194,0,0.56745977
2016,1,1314,1.8,3.91,0.15,2.55,26,34.5,28,32.1,0,0.1,0,0.12,0,0.15,0,0.073478077,0,0,0,0.63417904,0,0.526926929
2016,1,1315,1.8,2.84,0.15,2.64,26,35.1,28,32.72,0,0.1,0,0.12,0,0.15,0,0.073478077,0,0,0,0.63778233,0,0.52078559
2016,1,2401,1.8,2.55,0.15,2.43,26,35.2,28,34.51,0,0.1,0,0.12,0,0.15,0,0.060699281,0,0,0,0.60174943,0,0.313208315
2016,1,2402,1.8,2.66,0.15,2.55,26,33.9,28,31.87,0,0.1,0,0.12,0,0.15,0,0.054309883,0,0,0,0.567518175,0,0.452002587
2016,1,2403,1.8,2.27,0.15,1.96,26,33.8,28,31.47,0,0.1,0,0.12,0,0.15,0,0.051115184,0,0,0,0.54409679,0,0.450774319
2016,1,2404,1.8,3.15,0.15,2.18,26,33.5,28,31,0,0.1,0,0.12,0,0.15,0,0.054309883,0,0,0,0.55130337,0,0.465513534
2016,1,2405,1.8,3.08,0.15,2.45,26,33.8,28,31.54,0,0.1,0,0.12,0,0.15,0,0.057504582,0,0,0,0.581931335,0,0.488850624
2016,1,2406,1.8,3.71,0.15,2.39,26,33.6,28,31.35,0,0.1,0,0.12,0,0.15,0,0.06389398,0,0,0,0.603551075,0,0.509731179
2016,1,2407,1.8,2.18,0.15,2.56,26,33.4,28,31.12,0,0.1,0,0.12,0,0.15,0,0.06389398,0,0,0,0.59093956,0,0.503589839
2016,1,2408,1.8,3.07,0.15,2.26,26,33.2,28,31.14,0,0.1,0,0.12,0,0.15,0,0.060699281,0,0,0,0.578328045,0,0.493763696
2016,1,2409,1.8,2.55,0.15,2.44,26,34.2,28,32.29,0,0.1,0,0.12,0,0.15,0,0.070283378,0,0,0,0.6125593,0,0.524470393
2016,1,2410,1.8,3.18,0.15,3.52,26,35,28,33.21,0,0.1,0,0.12,0,0.15,0,0.083062174,0,0,0,0.63057575,0,0.546579216
2016,1,2411,1.8,2.15,0.15,2.48,26,36,28,34.7,0,0.1,0,0.12,0,0.15,0,0.086256873,0,0,0,0.646790555,0,0.566231502
2016,1,2412,1.8,4.06,0.15,3.8,26,36.4,28,35.72,0,0.1,0,0.12,0,0.15,0,0.111814465,0,0,0,0.686426745,0,0.646068915
2016,1,2413,1.8,2.16,0.15,2.67,26,36.3,28,34.12,0,0.1,0,0.12,0,0.15,0,0.115009164,0,0,0,0.66660865,0,0.62027529
2016,1,2414,1.8,4.42,0.15,2.88,26,36.8,28,35.9,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.70984813,0,0.636242772
2016,1,2415,1.8,4.59,0.15,3.19,26,36.2,28,34.86,0,0.1,0,0.12,0,0.15,0,0.076672776,0,0,0,0.64498891,0,0.583427253
2016,1,2416,1.8,6.55,0.15,3.26,26,37.6,28,35.67,0,0.1,0,0.12,0,0.15,0,0.079867475,0,0,0,0.639583975,0,0.551492287
2016,1,2417,1.8,4.19,0.15,2.72,26,37.3,28,35.9,0,0.1,0,0.12,0,0.15,0,0.102230368,0,0,0,0.73146787,0,0.633786236
2016,1,2418,1.8,6.35,0.15,4,26,38,28,36.28,0,0.1,0,0.12,0,0.15,0,0.111814465,0,0,0,0.74948432,0,0.647297183
2016,1,2419,1.8,4.49,0.15,3.74,26,39.2,28,38.23,0,0.1,0,0.12,0,0.15,0,0.134177358,0,0,0,0.78191393,0,0.680460417
2016,1,2420,1.8,7.16,0.15,4.22,26,36.9,28,36.52,0,0.1,0,0.12,0,0.15,0,0.284328211,0,0,0,0.82155012,0,0.770123973
2016,1,2421,1.8,6.19,0.15,4.73,26,38,28,36.09,0,0.1,0,0.12,0,0.15,0,0.09584097,0,0,0,0.65940207,0,0.563774966
2016,1,2422,1.8,4.66,0.15,4.03,26,37.6,28,35.91,0,0.1,0,0.12,0,0.15,0,0.099035669,0,0,0,0.68102181,0,0.588340324
2016,1,2423,1.8,7.59,0.15,6.3,26,36.3,28,36.71,0,0.1,0,0.12,0,0.15,0,0.281133512,0,0,0,0.82515341,0,0.800830671
